ws_diff,ws_diff_bin,steps_diff
-37.0,"(-48, -16]",-3230.727495425516
-37.0,"(-48, -16]",789.1027445131723
-37.0,"(-48, -16]",-2327.692307692308
-37.0,"(-48, -16]",-5511.000548287157
-37.0,"(-48, -16]",-744.6495238095239
-37.0,"(-48, -16]",-2860.8
-37.0,"(-48, -16]",665.6726190476184
-37.0,"(-48, -16]",1123.0061538461541
-37.0,"(-48, -16]",177.84666666666638
-37.0,"(-48, -16]",-997.6257232673497
-37.0,"(-48, -16]",118.68444420958168
-37.0,"(-48, -16]",-1886.3450292397656
-36.0,"(-48, -16]",1455.913461538462
-36.0,"(-48, -16]",469.5454545454545
-36.0,"(-48, -16]",-1524.9206349206347
-36.0,"(-48, -16]",2982.694117647058
-36.0,"(-48, -16]",-2472.153343413699
-36.0,"(-48, -16]",3157.875879532397
-36.0,"(-48, -16]",-2219.661946613333
-36.0,"(-48, -16]",-5113.727272727273
-36.0,"(-48, -16]",-5052.611940656332
-36.0,"(-48, -16]",3700.397476412778
-36.0,"(-48, -16]",1294.0
-36.0,"(-48, -16]",2505.09
-36.0,"(-48, -16]",-2375.253205128205
-36.0,"(-48, -16]",156.1538461538457
-36.0,"(-48, -16]",-3477.5666666666657
-36.0,"(-48, -16]",-5145.40909090909
-36.0,"(-48, -16]",-494.37215050812256
-36.0,"(-48, -16]",2061.592851561641
-36.0,"(-48, -16]",-303.91666666666697
-36.0,"(-48, -16]",-4391.412307692307
-36.0,"(-48, -16]",1708.315019835762
-36.0,"(-48, -16]",-968.385714285715
-36.0,"(-48, -16]",-3791.81
-36.0,"(-48, -16]",-2188.0550000000007
-36.0,"(-48, -16]",-1147.0213903743318
-36.0,"(-48, -16]",-547.6826923076924
-36.0,"(-48, -16]",-3497.892647511262
-36.0,"(-48, -16]",-368.04444444444465
-36.0,"(-48, -16]",29.324500867989173
-36.0,"(-48, -16]",-472.62132426731796
-36.0,"(-48, -16]",-5213.22781116901
-36.0,"(-48, -16]",1595.3529411764707
-35.0,"(-48, -16]",-1215.4753846153844
-35.0,"(-48, -16]",1347.2521739130434
-35.0,"(-48, -16]",-448.9377777777777
-35.0,"(-48, -16]",-699.9230769230771
-35.0,"(-48, -16]",816.8630952380954
-35.0,"(-48, -16]",371.5
-35.0,"(-48, -16]",1319.3272727272724
-35.0,"(-48, -16]",1957.7
-35.0,"(-48, -16]",-363.18310815170304
-35.0,"(-48, -16]",-4487.75
-35.0,"(-48, -16]",377.6175470422263
-35.0,"(-48, -16]",402.051428571428
-35.0,"(-48, -16]",-1737.1511656337286
-35.0,"(-48, -16]",5870.5
-35.0,"(-48, -16]",3169.0
-35.0,"(-48, -16]",-73.53968253968287
-35.0,"(-48, -16]",281.37538461538503
-35.0,"(-48, -16]",1885.36
-35.0,"(-48, -16]",-4339.291341147001
-35.0,"(-48, -16]",-1525.2229437229435
-35.0,"(-48, -16]",366.23999999999984
-35.0,"(-48, -16]",3073.4
-35.0,"(-48, -16]",70.14102564102586
-35.0,"(-48, -16]",160.9728675182873
-35.0,"(-48, -16]",-1030.8461538461543
